conformer,solute_file,solvent,solvent_molar_mass_g_mol,ln_gamma_inf,x_inf,g_per_g_inf,ln_gamma_iter,x_iter,g_per_g_iter,residual,status
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,GVL,100.11582,-2.531866946197244,0.4394941512760405,5.001269413354988,-1.2613907075423008,0.12336509004839015,0.8975958120543145,1.554312234475219e-14,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,GVL,100.11582,-2.2496927213903586,0.3314411225175363,3.162088568529064,-1.2206725133896619,0.11844278021252046,0.8569695394860393,-4.440892098500626e-16,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.8056783275503356,0.2126049589113999,1.7222175623732965,-1.1347820978267524,0.10869432240620129,0.7778350079576855,-1.865174681370263e-14,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,GVL,100.11582,-0.9757068970788261,0.09270888921315205,0.6517514719993495,-0.8386711086792538,0.08083649803098664,0.5609472441717094,-2.4424906541753444e-14,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.2508766556607966,0.12207481797113667,0.8869024977999044,-1.0086173517183656,0.09581074264710525,0.6758684325647968,1.0791367799356522e-13,root
06ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_06ns_cosmors.solute.orcacosmo,GVL,100.11582,-0.9219207005842645,0.08785415971812469,0.6143351239094874,-0.7892991560989557,0.07694236378217553,0.5316722627606784,-4.884981308350689e-15,root
07ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_07ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.1906407648414294,0.11493861784612773,0.8283232997661167,-0.9175093521116189,0.08746745797001813,0.6113718568624604,-2.708944180085382e-14,root
08ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_08ns_cosmors.solute.orcacosmo,GVL,100.11582,-0.3378130869698186,0.048987763877106176,0.32855555173231243,-0.5303042277103298,0.05938618899739521,0.40269979068633044,0.0,root
09ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_09ns_cosmors.solute.orcacosmo,GVL,100.11582,-1.283976599548689,0.12618310454172005,0.9210603130228966,-0.990443319077924,0.0940852025881633,0.6624319482800146,-1.1857181902996672e-13,root
10ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_10ns_cosmors.solute.orcacosmo,GVL,100.11582,-0.09013001463417503,0.03824020609937949,0.2536068067235576,-0.39192291415385583,0.05171150948390114,0.34781958667920826,-2.398081733190338e-14,root
