conformer,solute_file,solvent,solvent_file,solvent_molar_mass_g_mol,ln_gamma_inf,x_inf_raw,x_inf,g_per_g_inf,ln_gamma_iter,x_iter,g_per_g_iter,residual,status
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\nmp.solute.orcacosmo,99.13106,-6.937455843704539,2.164271512616007,1.0,inf,-4.034638886358795,0.11875020184816344,0.8680316960487369,-2.842170943040401e-14,root
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\isopropanol.solute.orcacosmo,60.09502,-0.9433288447551114,0.0053962922700500505,0.0053962922700500505,0.05765233657941361,-0.97837400083991,0.005588758990083852,0.059720148668770644,-1.0658141036401503e-14,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\nmp.solute.orcacosmo,99.13106,-8.075976744117192,6.7571737712842275,1.0,inf,-4.236477630272809,0.14530876418276767,1.095173221791819,7.105427357601002e-14,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\isopropanol.solute.orcacosmo,60.09502,-0.8655865091584225,0.004992664651266852,0.004992664651266852,0.053318464950578105,-0.9210877888000581,0.005277597868916629,0.05637751388958937,1.865174681370263e-14,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\nmp.solute.orcacosmo,99.13106,-7.5954808622419865,4.179154024574776,1.0,inf,-4.230796996811133,0.14448565844909456,1.087921863910335,1.5987211554602254e-14,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\isopropanol.solute.orcacosmo,60.09502,-0.290369678383545,0.002808787609961136,0.002808787609961136,0.029930362840523903,-0.34480256043807245,0.0029659156868673928,0.03160969602908705,3.375077994860476e-14,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\nmp.solute.orcacosmo,99.13106,-4.6763712003817925,0.22559795541596472,0.22559795541596472,1.8765879621167492,-3.561348671114313,0.07397534984018256,0.51459402338319,-4.263256414560601e-14,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\isopropanol.solute.orcacosmo,60.09502,1.4722259234972626,0.00048198481616084325,0.00048198481616084325,0.005124060567058407,1.4551599097736378,0.000490280965393774,0.005212301569201833,1.7497114868092467e-13,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\nmp.solute.orcacosmo,99.13106,-7.213276605682875,2.851669416681974,1.0,inf,-4.298847559442208,0.15466025620840346,1.1785491394717853,1.687538997430238e-14,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\isopropanol.solute.orcacosmo,60.09502,0.36840584455010017,0.001453504318008476,0.001453504318008476,0.01546747982157261,0.32307389609734116,0.0015209107913333223,0.016185879060312006,5.329070518200751e-15,root
