solvent,quantity,n_conformers,n_finite,n_nonfinite,mean,median,stdev,min,max
NMP,ln_gamma_inf,10,10,0,-6.156385045857397,-6.375843077851145,1.3730393495915032,-8.075976744117192,-4.3259237665571675
NMP,x_inf_raw,10,10,0,2.0076308125500297,1.4340777557702518,2.1703658758313815,0.15890507683170993,6.7571737712842275
NMP,x_inf,10,10,0,0.6670892476597097,0.8519419994622484,0.37879652380690637,0.15890507683170993,1.0
NMP,g_per_g_inf,10,5,5,4.740784571657739,2.518333064426155,5.940578455721236,1.2170068389038395,15.312266341166872
NMP,x_iter,10,10,0,0.1122493110119728,0.10885760919825851,0.0330282775250614,0.060901526899853044,0.15466025620840346
NMP,g_per_g_iter,10,10,0,0.8235186093414757,0.7877771393120391,0.2693350504050241,0.417750813716241,1.1785491394717853
Isopropanol,ln_gamma_inf,10,10,0,0.5788085554780633,0.5427366726991707,1.0838176473112286,-0.9433288447551114,2.3795062209346796
Isopropanol,x_inf_raw,10,10,0,0.001907475811291463,0.001239571619259685,0.0018918812116434467,0.00019453893332740274,0.0053962922700500505
Isopropanol,x_inf,10,10,0,0.001907475811291463,0.001239571619259685,0.0018918812116434467,0.00019453893332740274,0.0053962922700500505
Isopropanol,g_per_g_inf,10,10,0,0.020342143731188086,0.013188575670177739,0.020217226552888226,0.002067581080113255,0.05765233657941361
Isopropanol,x_iter,10,10,0,0.001990972122524696,0.0012876592321135723,0.0019843954708048304,0.00019635385308678993,0.005588758990083852
Isopropanol,g_per_g_iter,10,10,0,0.021236315630010195,0.013700942703258803,0.021210808667807255,0.0020868740342461383,0.059720148668770644
