conformer,solute_file,solvent,solvent_file,solvent_molar_mass_g_mol,ln_gamma_inf,x_inf_raw,x_inf,g_per_g_inf,ln_gamma_iter,x_iter,g_per_g_iter,residual,status
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-4.829628223323898,4.373792175420078,1.0,inf,-1.7566202080951605,0.20242666468640205,1.634923178974557,-1.1102230246251565e-14,root
01ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_cosmors_hpc_package\pet_trimer.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,-1.3480083767645752,0.13452712343357856,0.13452712343357856,1.6516876355970793,-1.0449022339254839,0.09935106584148454,1.1721643667949302,-2.4424906541753444e-14,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-5.134637628017789,5.933651627042661,1.0,inf,-1.7925741096118273,0.20983711203727773,1.710668782378821,1.603162047558726e-13,root
02ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_02ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,-0.8868608359366625,0.08482737415171374,0.08482737415171374,0.9849280953524155,-0.9434929390800875,0.08976996036423097,1.0479761355980561,8.43769498715119e-15,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-4.667094298628225,3.7176676015276913,1.0,inf,-1.785731568738349,0.208406194161405,1.6959322279808733,8.837375276016246e-14,root
03ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_03ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,-0.2512943903347278,0.04492757970474951,0.04492757970474951,0.49985983668743067,-0.7059877994403152,0.07079194780068125,0.8095476585051348,4.440892098500626e-15,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-2.859060754102355,0.6096092738498363,0.6096092738498363,10.058942615405183,-1.5161750927465185,0.15916359233753527,1.219361510447234,1.438849039914203e-13,root
04ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_04ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,0.911461770637974,0.01404541056899765,0.01404541056899765,0.15137322011739926,0.40117663915767565,0.023396368640204012,0.254566730350278,-4.884981308350689e-15,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-4.036158951696503,1.978148163042897,1.0,inf,-1.7842002536000514,0.20808730282523882,1.6926553272564224,3.1530333899354446e-14,root
05ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_05ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,0.6311924096782882,0.018588907902130553,0.018588907902130553,0.2012678638734051,-0.06675079045166754,0.03735654959921931,0.4123564761218953,3.597122599785507e-14,root
06ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_06ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-2.7946459256007845,0.5715793900232926,0.5715793900232926,8.594219926652883,-1.4624787342313184,0.1508424926521849,1.1442889512809293,1.1945999744966684e-13,root
06ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_06ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,0.6219617684529339,0.018761289815566705,0.018761289815566705,0.20316998244419968,0.08985898512859691,0.03194125639250406,0.35060798814140826,-1.3322676295501878e-14,root
07ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_07ns_cosmors.solute.orcacosmo,NMP,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\nmp.solute.orcacosmo,99.13106,-3.5227664709495397,1.1838462304892772,1.0,inf,-1.6023233773449164,0.17348321314659015,1.3520913558982588,5.417888360170764e-14,root
07ns,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_02_10ns_cosmors_package\pet_07ns_cosmors.solute.orcacosmo,Isopropanol,D:\Works\21-Work\drude model\10-PET\0-PET\1\job\pet_extra_solvent_cosmors_package\isopropanol.solute.orcacosmo,60.09502,0.4270335814314983,0.022799164298888796,0.022799164298888796,0.24791717944137728,-0.14751930306154648,0.04049897909338917,0.44850796303384394,-3.3306690738754696e-14,root
